FixtureID,Date,Timestamp,VenueID,HomeTeamID,AwayTeamID,Status,Round,LeagueID,Season
1325015,2025-05-18T04:00:00+00:00,1747540800,969.0,304,4319,FT,Regular Season - 13,100,2025
1325016,2025-05-18T05:00:00+00:00,1747544400,3298.0,4314,4323,FT,Regular Season - 13,100,2025
1325017,2025-05-17T05:00:00+00:00,1747458000,5191.0,7135,315,FT,Regular Season - 13,100,2025
1325018,2025-05-18T05:00:00+00:00,1747544400,1935.0,317,4326,FT,Regular Season - 13,100,2025
1325019,2025-05-17T05:00:00+00:00,1747458000,20519.0,10409,300,FT,Regular Season - 13,100,2025
1325020,2025-05-17T05:00:00+00:00,1747458000,11575.0,2236,4318,FT,Regular Season - 13,100,2025
1325021,2025-05-17T10:00:00+00:00,1747476000,959.0,2235,805,FT,Regular Season - 13,100,2025
1325022,2025-06-01T05:00:00+00:00,1748754000,11578.0,4326,304,NS,Regular Season - 14,100,2025
1325023,2025-06-01T05:00:00+00:00,1748754000,3301.0,4318,4324,NS,Regular Season - 14,100,2025
1325024,2025-05-31T10:00:00+00:00,1748685600,20714.0,315,317,NS,Regular Season - 14,100,2025
1325025,2025-05-31T05:00:00+00:00,1748667600,2774.0,756,4314,NS,Regular Season - 14,100,2025
1325026,2025-05-31T05:00:00+00:00,1748667600,3305.0,4323,7135,NS,Regular Season - 14,100,2025
1325027,2025-06-01T05:00:00+00:00,1748754000,987.0,300,2235,NS,Regular Season - 14,100,2025
1325028,2025-06-01T10:00:00+00:00,1748772000,958.0,297,7129,NS,Regular Season - 14,100,2025
1325029,2025-05-31T05:00:00+00:00,1748667600,20561.0,7138,2236,NS,Regular Season - 14,100,2025
1325030,2025-05-31T05:00:00+00:00,1748667600,11577.0,4319,7145,NS,Regular Season - 14,100,2025
1325031,2025-05-31T05:00:00+00:00,1748667600,2775.0,805,10409,NS,Regular Season - 14,100,2025
1325032,2025-06-08T04:00:00+00:00,1749355200,11578.0,4326,2235,NS,Regular Season - 15,100,2025
1325033,2025-06-07T10:00:00+00:00,1749290400,20714.0,315,756,NS,Regular Season - 15,100,2025
1325034,2025-06-08T05:00:00+00:00,1749358800,11585.0,7145,805,NS,Regular Season - 15,100,2025
1325035,2025-06-07T05:00:00+00:00,1749272400,969.0,304,4318,NS,Regular Season - 15,100,2025
1325036,2025-06-08T05:00:00+00:00,1749358800,3298.0,4314,300,NS,Regular Season - 15,100,2025
1325037,2025-06-08T05:00:00+00:00,1749358800,11577.0,4319,4323,NS,Regular Season - 15,100,2025
1325038,2025-06-07T05:00:00+00:00,1749272400,1935.0,317,7138,NS,Regular Season - 15,100,2025
1325039,2025-06-08T05:00:00+00:00,1749358800,5189.0,7129,7135,NS,Regular Season - 15,100,2025
1325040,2025-06-07T10:00:00+00:00,1749290400,20519.0,10409,4324,NS,Regular Season - 15,100,2025
1325041,2025-06-07T09:00:00+00:00,1749286800,11575.0,2236,297,NS,Regular Season - 15,100,2025
1325042,2025-06-15T07:00:00+00:00,1749970800,3301.0,4318,315,NS,Regular Season - 16,100,2025
1325043,2025-06-15T10:00:00+00:00,1749981600,2774.0,756,317,NS,Regular Season - 16,100,2025
1325044,2025-06-14T08:00:00+00:00,1749888000,3306.0,4324,7129,NS,Regular Season - 16,100,2025
1325045,2025-06-14T06:00:00+00:00,1749880800,3305.0,4323,297,NS,Regular Season - 16,100,2025
1325046,2025-06-14T09:00:00+00:00,1749891600,987.0,300,7145,NS,Regular Season - 16,100,2025
1325047,2025-06-14T06:00:00+00:00,1749880800,5191.0,7135,4319,NS,Regular Season - 16,100,2025
1325048,2025-06-14T05:00:00+00:00,1749877200,2775.0,805,4314,NS,Regular Season - 16,100,2025
1325049,2025-06-14T10:00:00+00:00,1749895200,20519.0,10409,7138,NS,Regular Season - 16,100,2025
1325050,2025-06-14T09:00:00+00:00,1749891600,11575.0,2236,4326,NS,Regular Season - 16,100,2025
1325051,2025-06-14T09:00:00+00:00,1749891600,959.0,2235,304,NS,Regular Season - 16,100,2025
1325052,2025-06-22T05:00:00+00:00,1750568400,11578.0,4326,756,NS,Regular Season - 17,100,2025
1325053,2025-06-21T09:00:00+00:00,1750496400,969.0,304,2236,NS,Regular Season - 17,100,2025
1325054,2025-06-21T09:00:00+00:00,1750496400,987.0,300,4324,NS,Regular Season - 17,100,2025
1325055,2025-06-21T09:00:00+00:00,1750496400,3298.0,4314,2235,NS,Regular Season - 17,100,2025
1325056,2025-06-21T10:00:00+00:00,1750500000,958.0,297,10409,NS,Regular Season - 17,100,2025
1325057,2025-06-22T06:00:00+00:00,1750572000,20561.0,7138,4318,NS,Regular Season - 17,100,2025
1325058,2025-06-21T09:00:00+00:00,1750496400,5191.0,7135,7145,NS,Regular Season - 17,100,2025
1325059,2025-06-21T10:00:00+00:00,1750500000,11577.0,4319,315,NS,Regular Season - 17,100,2025
1325060,2025-06-21T05:00:00+00:00,1750482000,1935.0,317,4323,NS,Regular Season - 17,100,2025
1325061,2025-06-21T05:00:00+00:00,1750482000,5189.0,7129,805,NS,Regular Season - 17,100,2025
1325062,2025-06-28T00:00:00+00:00,1751068800,3301.0,4318,4326,TBD,Regular Season - 18,100,2025
1325063,2025-06-28T10:00:00+00:00,1751104800,20714.0,315,304,NS,Regular Season - 18,100,2025
1325064,2025-06-28T09:00:00+00:00,1751101200,11585.0,7145,2236,NS,Regular Season - 18,100,2025
1325065,2025-06-28T10:00:00+00:00,1751104800,2774.0,756,300,NS,Regular Season - 18,100,2025
1325066,2025-06-28T09:00:00+00:00,1751101200,3306.0,4324,4314,NS,Regular Season - 18,100,2025
1325067,2025-06-30T10:00:00+00:00,1751277600,20561.0,7138,7135,NS,Regular Season - 18,100,2025
1325068,2025-06-29T10:00:00+00:00,1751191200,5189.0,7129,4323,NS,Regular Season - 18,100,2025
1325069,2025-06-28T09:00:00+00:00,1751101200,2775.0,805,4319,NS,Regular Season - 18,100,2025
1325070,2025-06-28T10:00:00+00:00,1751104800,20519.0,10409,317,NS,Regular Season - 18,100,2025
1325071,2025-06-28T09:00:00+00:00,1751101200,959.0,2235,297,NS,Regular Season - 18,100,2025
